company,title,count,title_norm,manual_department
JPMorgan Chase & Co.,Licensed Banker,147,licensed banker,
Greater Bay Bank,Vice President,15,vice president,
Wells Fargo,Quantitative Analytics Intern,12,quantitative analytics intern,
Wells Fargo,Broker Associate,18,broker associate,
Mars,Territory sales expert,24,territory sales expert,
Cognizant Technology Solutions,Director,22,director,
Goldman Sachs,equity trading,12,equity trading,
Northwestern Mutual,Managing Director & Financial Advisor,12,managing director & financial advisor,
AIG,Financial Analyst Intern,30,financial analyst intern,
U.S. Trust,"Vice President, Private Client Associate",16,vice president private client associate,
Transportation Security Administration (TSA),Transportation Security Officer,115,transportation security officer,
E*TRADE,Senior Manager,44,senior manager,
Progressive Insurance,Claims Attorney,14,claims attorney,
BNP Paribas,Conseiller clientèle de Particuliers,34,conseiller client le de particuliers,
Odeabank,ASSISTANT MANAGER,22,assistant manager,
Capital One,"Sr Manager, Software Engineering",13,sr manager software engineering,
PNC,Financial Specialist,516,financial specialist,
Capital Group,Shareholder Services Representative,14,shareholder services representative,
ATB Financial,Branch Manager,78,branch manager,
Trustco Bank,Assistant Branch Manager,144,assistant branch manager,
HSBC,Customer Service and Sales Representative,103,customer service and sales representative,
Rabobank,ICT Specialist,22,ict specialist,
BNP Paribas,Relationship Manager Corporate Banking,23,relationship manager corporate banking,
State Farm,Legal Assistant,30,legal assistant,
US Bank,Implementation Project Manager,13,implementation project manager,
Ford Motor Company,Consultant,31,consultant,
Kaye Scholer LLP,Associate,29,associate,
Convergys,Customer Care Executive,23,customer care executive,
USAA,Wealth Specialist,16,wealth specialist,
Well Fargo Bank,Bank Teller,21,bank teller,
Bank of China,Relationship Manager Corporate Banking,22,relationship manager corporate banking,
Foundation Capital,Executive Assistant,16,executive assistant,
TD,Analyst Commercial Banking,33,analyst commercial banking,
TD,Financial Services Representative II,98,financial services representative ii,
Comerica Bank,Customer service rep,25,customer service rep,
Societe Generale Corporate and Investment Banking - SGCIB,Front Office Developer,17,front office developer,
Oracle,System Administrator,18,system administrator,
BofI Federal Bank,Portfolio Analyst,17,portfolio analyst,
Bank of America,Sr Systems Analyst,21,sr systems analyst,
Union National Bank,Senior Relationship Officer,19,senior relationship officer,
JPMorgan Chase & Co.,Control Analyst,25,control analyst,
Bank of Tokyo-Mitsubishi UFJ,Banking Officer,14,banking officer,
Morgan Stanley,Service Delivery Manager,21,service delivery manager,
Cognizant,Systems Analyst,12,systems analyst,
American Express,Sr. Disputes Analyst,19,sr disputes analyst,
Travelers,Underwriting Professional Development Program,97,underwriting professional development program,
Bank of America,Sr. Quality Analyst,17,sr quality analyst,
UPS,Shift Supervisor,14,shift supervisor,
company,Executive,20,executive,
J.P. Morgan,Implementation Project Manager,19,implementation project manager,
Henkel,Finance Intern,16,finance intern,
JPMorgan Chase & Co.,Technology Analyst Intern,380,technology analyst intern,
State Street,Technical Project Manager,13,technical project manager,
Cognizant Technology Solutions,Programer Analyst,24,programer analyst,
Reed Smith LLP,Attorney,17,attorney,
Bank of America,Account Representative,43,account representative,
Vanguard,Financial Processing Associate,45,financial processing associate,
Farmers Insurance,Sales Manager,107,sales manager,
PlainsCapital Bank,Bank Officer,14,bank officer,
JPMorgan Chase,Teller Supervisor,21,teller supervisor,
Discover Card,Account Manager,24,account manager,
UPS,Supervisor,317,supervisor,
Bank of india,Special Assistant,22,special assistant,
Ann Taylor LOFT,Sales Associate,73,sales associate,
Farmers Insurance,Casualty Adjuster,12,casualty adjuster,
Vanguard,Developer,237,developer,
Northwestern Mutual,Investment Analyst Intern,25,investment analyst intern,
SunTrust Mortgage,Sales Manager,38,sales manager,
BNY Mellon,Sr Analyst,19,sr analyst,
UBS,Fund Manager,21,fund manager,
Pacific Western Bank,Relationship Manager,19,relationship manager,
Esprit,Sales Associate,18,sales associate,
Apple,Business Pro,16,business pro,
SunTrust,Senior Auditor,15,senior auditor,
Citi,Project Management Officer,15,project management officer,
Comerica Bank,Senior Lending Assistant,18,senior lending assistant,
BB&T,Administrative Assistant III,41,administrative assistant iii,
Independent Bank,Teller,133,teller,
HSBC,Lead Consultant Specialist,33,lead consultant specialist,
UMB Bank,Teller II,12,teller ii,
PNC,Data Expert,15,data expert,
Rabobank,Medewerker bedrijfsvoering,20,medewerker bedrijfsvoering,
"International Fund Services (NA) LLC, A State Street Company",Senior Fund Accountant,13,senior fund accountant,
American Home Mortgage,Branch Manager,49,branch manager,
Standard Chartered Bank,Treasury Specialist,17,treasury specialist,
Citi,Senior Sales Manager,35,senior sales manager,
Cisco Systems,Systems Engineer,75,systems engineer,
Union Bank,Vice President,290,vice president,
Bank of America Home Loans,Loan Processor,14,loan processor,
United States Army Reserve,Combat Engineer,16,combat engineer,
USAA,auto injury claims adjuster,14,auto injury claims adjuster,
Wells Fargo Bank,Sr. Business Relationship Manager,33,sr business relationship manager,
US BANK,SENIOR CREDIT ANALYST,16,senior credit analyst,
Mastercard advisors,Associate consultant,12,associate consultant,
Capital One,Senior Financial Analyst,171,senior financial analyst,
RGIS,Inventory Auditor,55,inventory auditor,
Deutsche Bank,Developer,121,developer,
Goldman Sachs,Operational Specialist,18,operational specialist,
Peoples Bank,Customer Service Representative,96,customer service representative,
ReachLocal,Internet Marketing Consultant,30,internet marketing consultant,
IBC Bank,Universal Teller,32,universal teller,
Mutual of Omaha,Programmer,37,programmer,
Convergys,Customer Service Supervisor,12,customer service supervisor,
Quest Diagnostics,Senior Financial Analyst,28,senior financial analyst,
UBS,Programmer Analyst,28,programmer analyst,
Goldman Sachs,Senior Analyst,2572,senior analyst,
Wendys Old Fashion Hambugers,Cashier,12,cashier,
Army National Guard,Team Leader,20,team leader,
Berwin Leighton Paisner,Trainee Solicitor,48,trainee solicitor,
UCO Bank,Assistant Manager,15,assistant manager,
SouthTrust Bank,Assistant Vice President,21,assistant vice president,
HSBC,Team Lead,237,team lead,
Mutual of Omaha,Business Systems Analyst,90,business systems analyst,
JP Morgan Chase,Loss Mitigation,15,loss mitigation,
New American Funding,Loan Officer Assistant,31,loan officer assistant,
hhgregg,General Manager,28,general manager,
TCF Bank,Consumer Lender,37,consumer lender,
USAA,Investment Services Representative,34,investment services representative,
BNP Paribas,Business Service Manager,12,business service manager,
"New York Community Bancorp, Inc. (NYCB)",Branch Operations Supervisor,14,branch operations supervisor,
Zions Bank,Senior Vice President,50,senior vice president,
Progressive Insurance,Senior Programmer Analyst,19,senior programmer analyst,
Independent Contractor,Contractor,21,contractor,
Bank of America,Team Coach,20,team coach,
Aflac,Coordinator in Training,251,coordinator in training,
American Express,Account Executive,295,account executive,
Great Western Bank,Mortgage Loan Processor,13,mortgage loan processor,
BNP Paribas,Chargé de relations bancaires,12,charg de relations bancaires,
FNB South Africa,Business Analyst,21,business analyst,
Capital One Bank,Operations Manager,17,operations manager,
CIBC,Application Developer Co-op,18,application developer co-op,
Fortress Investment Group,Senior Accountant,37,senior accountant,
Western Asset Management,Portfolio Analyst,17,portfolio analyst,
Wells Fargo,Architect,28,architect,
ADP,Outside Sales Representative,13,outside sales representative,
Digital Federal Credit Union,Teller,15,teller,
American Express,Computer Operator,12,computer operator,
Skyhawks Sports Academy,Camp Director,14,camp director,
Lehman Brothers Holdings Inc.,Senior Vice President,19,senior vice president,
TD,Planificateur financier,14,planificateur financier,
Fifth Third Bank,Mortgage Processor,75,mortgage processor,
The Boston Consulting Group (BCG),Associate,308,associate,
HSBC,Attaché commercial,130,attach commercial,
ABM Industries,Staff Accountant,13,staff accountant,
Vanguard,Portfolio Manager,20,portfolio manager,
Bank of America,Investment Banking Summer Analyst,43,investment banking summer analyst,
Cisco,Data Scientist,13,data scientist,
Huntington National Bank,Relationship Banker II,82,relationship banker ii,
JPMorgan Chase & Co.,"Vice President, Relationship Manager",22,vice president relationship manager,
HSBC,Becario,12,becario,
Internal Revenue Service,Tax Examining Technician,30,tax examining technician,
First National Bank,Supervisor,20,supervisor,
Waterstone Mortgage Corporation,Loan Partner II,17,loan partner ii,
BNY Mellon,Data Entry Operator,22,data entry operator,
JLL,Senior Vice President,25,senior vice president,
Scotiabank,Customer Service Officer,71,customer service officer,
PIMCO,Senior Software Engineer,15,senior software engineer,
AT&T Mobility,Business Account Manager,13,business account manager,
Bank of America,Retired Banker,44,retired banker,
Texas Capital Bank,Vice President,43,vice president,
On Sabbatical,Sabbatical,17,sabbatical,
IndusInd Bank,Credit Manager,12,credit manager,
iGATE Global Solutions,System Analyst,12,system analyst,
PNC,Banking Representative,17,banking representative,
Northern Illinois University,Research Assistant,28,research assistant,
BNY Mellon,Operations Manager,152,operations manager,
First Community Bank,Loan Processor,15,loan processor,
MetLife,Lead Software Development Engineer,23,lead software development engineer,
M&T Bank,Senior Teller,113,senior teller,
YouTube,Product Manager,12,product manager,
MetLife,Finance Specialist,40,finance specialist,
Aon,Analyst,45,analyst,
State Farm ®,Technology Manager,115,technology manager,
HSBC,Engineering Lead,13,engineering lead,
First Merchants Corporation,Assistant Branch Manager,13,assistant branch manager,
Sterling Bank,Personal Banker,13,personal banker,
Bain & Company,PTA,40,pta,
ABANCA,Gestor comercial,33,gestor comercial,
Comerica Bank,Senior Trust Analyst,16,senior trust analyst,
jcpenney,cashier,42,cashier,
CITI BANK,Sales Officer,24,sales officer,
AXA US,Lead Manager,12,lead manager,
CVS Pharmacy,clerk/cashier,13,clerk/cashier,
RBS Invoice Finance,Relationship Manager,14,relationship manager,
Whataburger,Team Member,43,team member,
Monash University,Teaching Associate,28,teaching associate,
HSBC,Telefonista,17,telefonista,
TD,Représentant service clientèle,55,repr sentant service client le,
Interbank,Analista de Procesos,30,analista de procesos,
"Sykes Enterprises, Inc.",Customer Service Representative,65,customer service representative,
Aon Hewitt,Benefits Administrator,28,benefits administrator,
Northern Illinois University,Student,30,student,
Liberty Mutual,Senior Software Developer,32,senior software developer,
Cognizant Technology Solutions,Analyst,90,analyst,
Varova Investments,Junior Consultant,15,junior consultant,
Huntington National Bank,Lead Teller,13,lead teller,
GE Capital International Services,Business Analyst,19,business analyst,
Nationwide,Member Care Representative II,12,member care representative ii,
IBM Daksh,Customer Care Executive,21,customer care executive,
PNC,Financial Specialist Team Manager,24,financial specialist team manager,
AIG,Call Center Representative,15,call center representative,
Target,Starbucks Team Lead,17,starbucks team lead,
Caixa Catalunya,Comercial,25,comercial,
HSBC,Senior Customer Care Officer,13,senior customer care officer,
Fidelity Investments,Fund Accountant,34,fund accountant,
Julius Baer,Associate Director,124,associate director,
Barclays,Marketing,15,marketing,
MetLife,Implementation Leader,53,implementation leader,
AT&T,Leveraged Service Representative,14,leveraged service representative,
bank of stockton,vice president,13,vice president,
BNY Mellon,Alternative Investment Accountant,16,alternative investment accountant,
BBVA,direccion,12,direccion,
World Savings,Loan Closing Specialist,16,loan closing specialist,
FinMechanics,Consultant,12,consultant,
American Express,Financial analyst,1458,financial analyst,
The First National Bank of Long Island,Assistant Manager,15,assistant manager,
HSBC,Assistant Officer,25,assistant officer,
American Express,Recruiting Coordinator,16,recruiting coordinator,
MetLife,Senior Client Services Consultant,22,senior client services consultant,
Attorney,Attorney,33,attorney,
L&T Infotech,Software Test Engineer,12,software test engineer,
Time Warner Cable,Customer Service,29,customer service,
hibu,Media Consultant,19,media consultant,
Travelers,Analytics Intern,17,analytics intern,
Chase,Sr teller,26,sr teller,
Merrill Edge,Financial Advisor,145,financial advisor,
WR Starkey Mortgage,Sr. Loan Officer,13,sr loan officer,
Aztec Group,Client Relationship Manager,16,client relationship manager,
First National Bank,Business development officer,17,business development officer,
U.S. Bank,Relationship Manager,353,relationship manager,
Market Resource Partners,Account Executive,32,account executive,
Morgan Stanley,Senior Executive Assistant,32,senior executive assistant,
Citigroup,Manager,356,manager,
AIG,executive,27,executive,
Mars,Operations Technician,18,operations technician,
Mitsubishi UFJ Securities,Director,13,director,
JPMorgan Chase & Co.,Infrastructure Project Manager,25,infrastructure project manager,
Royal Bank of Scotland,Spring Intern,77,spring intern,
Crowe Horwath LLP,Audit Intern,36,audit intern,
BMO Capital Markets,Research Associate,26,research associate,
Rabobank,Bankadviseur,19,bankadviseur,
BMO Harris Bank,Senior Service Representative,276,senior service representative,
Fred Meyer,Cashier,35,cashier,
CIBC,Operational Strategy Specialist,15,operational strategy specialist,
National Cooperative Bank,Vice President,16,vice president,
HSBC,Business Implementation Manager,40,business implementation manager,
Holland & Knight LLP,Partner,22,partner,
United States Air Force,Operations Manager,35,operations manager,
CIBC,Systems Developer,31,systems developer,
United States Air Force,Master Sergeant,23,master sergeant,
Synovus,Customer Care Specialist,24,customer care specialist,
GF Inbursa,Asesor Financiero,33,asesor financiero,
EDS,Software Developer,13,software developer,
RE/MAX,Realtor,197,realtor,
The Vanguard Group,Client Relationship Associate,38,client relationship associate,
Groupe Crédit du Nord,Conseiller de clientèle privée,31,conseiller de client le priv e,
KeyBank,Senior Business Analyst,36,senior business analyst,
Gate City Bank,Mortgage Loan Officer,25,mortgage loan officer,
Rothschild,Summer Analyst,32,summer analyst,
Barclays,Process Advisor,682,process advisor,
Wells fargo,Cts account manager,12,cts account manager,
SunTrust,Senior Mortgage Underwriter,14,senior mortgage underwriter,
Barclays,Business Development,12,business development,
Cisco Systems,Summer Intern,12,summer intern,
Alexander Mann Solutions,Intern,14,intern,
Sterling Savings Bank,Assistant Branch Manager,14,assistant branch manager,
Oakland University,Student,16,student,
BNY Mellon,Senior Associate,312,senior associate,
Lafayette Ambassador Bank,Senior Teller,15,senior teller,
Lincoln Heritage Life Insurance Company®,Insurance Agent,16,insurance agent,
Geek Squad,Customer Service agent,17,customer service agent,
J.P. Morgan,Fraud Analyst,42,fraud analyst,
IndusInd Bank,Acquisition Manager,76,acquisition manager,
U.S. Army Reserve,Intelligence Analyst,14,intelligence analyst,
State Street,Java Developer,35,java developer,
SunTrust,Client Service Specialist II,13,client service specialist ii,
Vanguard,Corporate Accountant,17,corporate accountant,
PwC Australia,Senior Accountant,17,senior accountant,
Commerce Bank,Utility Teller,21,utility teller,
Gold's Gym,Group Fitness Instructor,35,group fitness instructor,
State Street,Asst. Vice President,22,asst vice president,
Bank of America,Post Closer,32,post closer,
American Express,Customer Service Manager,94,customer service manager,
TUDOR INVESTMENT CORPORATION,Portfolio Manager,36,portfolio manager,
Verizon Wireless,Retail Sales Associate,26,retail sales associate,
Peoples Bank,Marketing Intern,14,marketing intern,
EY,Senior Tax Advisor,13,senior tax advisor,
Merrill Lynch,"Vice President, Wealth Management Advisor",21,vice president wealth management advisor,
U.S. Bank,Project Coordinator,15,project coordinator,
Oppenheimer & Co.,Executive Director,20,executive director,
CIBC,Project Leader,23,project leader,
Cognizant Technology Solutions,Consultant-CRM,15,consultant-crm,
Spirit Halloween,Store Manager,31,store manager,
JPMorgan Chase & Co.,Quality Specialist,48,quality specialist,
JPMorgan Chase & Co.,Senior Account Executive,17,senior account executive,
United States Air Force,Aircraft Armament Systems Specialist,18,aircraft armament systems specialist,
BBVA,Cajero,324,cajero,
Utah Valley University,Student,13,student,
Deutsche Bank,Technology Associate,17,technology associate,
Capital One,"Senior Manager, Process Management",18,senior manager process management,
Morgan Stanley,"First Vice President, Investments",12,first vice president investments,
AT&T,Finance Intern,13,finance intern,
Chubb,Underwriting associate,130,underwriting associate,
Whole Foods Market,Customer Service,46,customer service,
Prime Communications,Retail Store Manager,21,retail store manager,
Stock Holding Corporation of India Limited,Executive,25,executive,
International Paper,Business Analyst,13,business analyst,
Sallie Mae,Customer Service rep,29,customer service rep,
Allstate,Customer Relationship Specialist,42,customer relationship specialist,
Citi,Senior Treasury Analyst,17,senior treasury analyst,
Independent Contractor,Marketing Consultant,25,marketing consultant,
University of Virginia,Teaching Assistant,76,teaching assistant,
NTPC,Intern,39,intern,
WORLEY,Independent Adjuster,21,independent adjuster,
New York Life Insurance Company,New Business Specialist,13,new business specialist,
MetLife,Senior Account Representative,16,senior account representative,
HSBC,Manager Technical Services,27,manager technical services,
Northern Trust,Training Consultant,18,training consultant,
K2 Intelligence,AML Analyst,15,aml analyst,
Morgan Stanley,Financial Advisory Intern,13,financial advisory intern,
Wells Fargo,Consultant,660,consultant,
M&T Bank,Sales Representative,13,sales representative,
Amboy Bank,Head Teller,12,head teller,
Barclays,Conseiller en gestion de patrimoine,49,conseiller en gestion de patrimoine,
Woodforest National Bank,Community Development Relationship Manager,15,community development relationship manager,
Citibank,Service Manager,54,service manager,
UBS Wealth Management,Wealth Management Intern,144,wealth management intern,
Prudential Financial,Senior Group Underwriting Associate,12,senior group underwriting associate,
Nationwide Insurance,Insurance Service Specialist,12,insurance service specialist,
BNP Paribas,Test Lead,21,test lead,
Management Solutions,Consultor,28,consultor,
Westpac Institutional Bank,Senior Associate,17,senior associate,
Victoria's Secret,Supervisor,35,supervisor,
United States Postal Service,letter carrier,142,letter carrier,
Capital One,Sr Manager,37,sr manager,
Kaiser Permanente,Patient Access Specialist,29,patient access specialist,
MetLife,National Sales Manager,13,national sales manager,
"Berkshire Hathaway HomeServices Fox & Roach, Realtors",Realtor,55,realtor,
Bank of the Ozarks,Teller Customer Service,12,teller customer service,
British Army,Troop Leader,13,troop leader,
Regions Bank,Financial Consultant,67,financial consultant,
GoodLife Fitness,Certified Personal Trainer,17,certified personal trainer,
Kroger,Bakery Clerk,16,bakery clerk,
Real Estate Investor,Owner,15,owner,
AIG,Field Underwriter,15,field underwriter,
Sodexo,Catering Assistant,12,catering assistant,
Rutgers University,Advisory Board Member,21,advisory board member,
Signature Bank,Teller,13,teller,
"New Penn Financial, LLC",Branch Manager,24,branch manager,
Republic Bank,CSR,21,csr,
Vijaya Bank,Assistant Branch Manager,14,assistant branch manager,
"People's United Bank, N.A.",Sales & Service Supervisor,34,sales & service supervisor,
Wells Fargo Bank,Assistant Store Manager,56,assistant store manager,
Morgan Stanley,"Vice President Wealth Management, Financial Advisor",15,vice president wealth management financial advisor,
Clear Channel Outdoor,Account Executive,36,account executive,
Nationwide Insurance,System Architect,15,system architect,
ANZ,Senior Officer,49,senior officer,
Toys R Us,Customer Service,23,customer service,
The Ohio State University,Graduate Teaching Associate,75,graduate teaching associate,
"China Securities Co., Ltd.",Intern,16,intern,
YASH Technologies,Senior Software Engineer,26,senior software engineer,
CLSA,Technical Lead,13,technical lead,
Morgan Stanley,Operations Support,24,operations support,
US Census Bureau,Office Clerk,17,office clerk,
Oracle Financial Services Software Limited,Principal Consultant,18,principal consultant,
Aerotek,Recruiter,609,recruiter,
Bankers Trust,Electronic Banking Specialist,18,electronic banking specialist,
CIBC US,Associate Managing Director,45,associate managing director,
Gap / Gap Inc.,Sales Associate,17,sales associate,
Bank of America,Claims Analyst I,15,claims analyst i,
Civista Bank,Bank Teller,16,bank teller,
21st Century Insurance,Claims Adjuster,18,claims adjuster,
"Cravath, Swaine & Moore LLP",Associate,129,associate,
Commerce Bank,Personal Banker Associate,104,personal banker associate,
American Express,Business Data Analyst,13,business data analyst,
Centennial Bank,Commercial Loan Officer,47,commercial loan officer,
EY,Senior IT Auditor,24,senior it auditor,
Fulton Bank,Branch Manager,87,branch manager,
Winston & Strawn LLP,Corporate Associate,12,corporate associate,
Brookline Bank,Teller Supervisor,18,teller supervisor,
Collabera,Consultant,29,consultant,
Indus Valley Partners,Business Analyst,41,business analyst,
Susquehanna Bank,Branch Operations Supervisor,78,branch operations supervisor,
Morgan Guaranty Trust Company,Vice President,13,vice president,
Natixis Global Asset Management,Investment Consultant,16,investment consultant,
JPMorgan Chase,Consultant,756,consultant,
Wells Fargo,,12,,
BB&T,Senior Vice President,296,senior vice president,
Citibank NA,Senior Vice President,12,senior vice president,
ABN Amro,Officer,22,officer,
Faysal Bank Limited,Relationship Manager,13,relationship manager,
Sallie Mae,Senior Accountant,29,senior accountant,
Fisher Investments,Associate,12,associate,
Phoenix Life Insurance Company,Wealth Management Consultant,25,wealth management consultant,
US Census Bureau,Statistician,13,statistician,
Merrill Lynch,Senior Director,12,senior director,
Bank of America,V.P.,38,v p,
Bank of india,Banker,276,banker,
U.S. Bank,Risk Management and Compliance Intern,15,risk management and compliance intern,
State Farm,Agency Team Member,30,agency team member,
Cambridge Trust Company,Vice President,24,vice president,
Goldman Sachs,Securities Intern,39,securities intern,
